artist,track,duration_ms,uri
Ryan Cassata,Man in the Mirror,209133,1K6SsRvVwMyBBD2d8x1zsW
Ankle Grease,Gender School Dropout,123159,1KPEGy3qfqSW1LYxlcHvvo
Dyke Drama,The Thing I Do Best,130598,5Ae7KzPFdnb8PgrMBjI1oo
Dog Park Dissidents,Rainbow Drones,174000,7jSiDaSVeZbFQo9zfjYv7N
Various Artists,Big Dick,120733,4g0LJ7M53BKwJxcstEMUD1
Boyskout,Girl On Girl Action,240027,6oROLuyOg6uEMgAASOMFhe
Sons of an Illustrious Father,U.S. Gay,229432,1JzwqaeFmZMYcVItN5jEqS
Ashby and the Oceanns,Queer Kidz,192000,7dB4icCDKYHBc2gbmbz71c
Murder Person for Hire,Chaotic Gender Neutral,132443,3x2IkVx6SI1FnIuHUzkojR
Franz Ferdinand,Michael,201307,4I8ATtKjqwp7o3O2AzAmKr
Hunx & His Punx,Lovers Lane,215133,2C3NdJNp7DkOLtARovoL68
Christine and the Queens,iT,218159,3qth4Wzm1QBGxkusVF8BaN
GRLwood,Vaccines Made Me Gay,144158,5y6nKxDUiSl8ZcRCvhiseo
Super 8 Cum Shot,Everybody Loves A Muscle Boi,146067,7lAW8ktaLel4yB2oF4bbJ0
Boyskout,Back To Bed,160160,5o0ajBbivQnDdUJ3EpGqzj
Team Dresch,Hate the Christian Right!,155800,7wkJCZqzcq7Piy2CubXyrd
Joan Jett & The Blackhearts,Androgynous - Recorded at Spotify Studios NYC,175080,1moVuTTH3Kh1FLMAJoriAz
Various Artists,Go Away - Live,207107,1HY3FrGW7H3PIQG4rsF0dt
Fagatron,Like a Prayer,135600,6KQoqZBZzt7sw3xUZMg4bG
Eli Conley and Hip for Squares,Pinocchio,202733,7HOzxsMreV4gjdkK7BFxDB
Kiethevez,Always A Boy,269707,4gjWONpz436eD5vzJgNPKv
Left at London,I Split My Ribs Open,216473,4etOOAJ1kDwDCfxMIRbG7r
Gravy Train!!!!,Wutcha Wutcha Wutcha Doin' Tonite?,171000,39O0Wr82PqTsUhZudhcjmX
God Is My Co-Pilot,Steal Yr GF,84347,6eY7QtqVFQ1rDBmVSLddOT
Queen Zee,Sissy Fists,143853,3XPJMp4eqVLiA2OPUxlBL0
Mouthfull,Ugly Face,155016,1hgBT7TEr5kPJbwSjKCLwy
Asher Brown,Hey Little Abigail,204843,0gMw3oQlnH4WNXOIkRAqED
Rae Spoon,I Hear Them Calling,241027,25pZ9Cgj1fAFjBsDCLucQO
Gay For Johnny Depp,Hey F*cked Up! (Punk Rock Can't Exist In Countries With Good Social Services),133959,0hDRtm0cHZ1DjARrkri6Vm
Ryan Cassata Music,The Trans Slam,64625,12Xe8mjeAOPuGJZcu1HPYj
Boyinaband,Spectrum (feat. Cryaotic & Minx),251077,0j3ZLRvMewKbFupgldgNo3
Hunx & His Punx,Bad Boy,161200,0kbT4Z59wpe6xqm9pvdiLL
Propagandhi,Homophobes Are Just Pissed 'Cause They Can't Get Laid,104587,7kLAwZQPqGQwTK5mrfRdnX
Eli Conley,Strong and Tender,255587,2DiLk4YKnwKmMp9jkdyqrH
Ren Stedman,What I Have Become,194673,6snCOlXgYAN1HGHvc7QL3X
Aye Nako,Sissy,111253,5hnmoBHa961EykhYnvCkfk
Qfolk,Nonbinary Fantasy Trash Babe,206477,4NdQMciiUqoPTp6QNjvLXM
Asher Brown,What Makes a Man,258283,6D0Jo8rJZ920IImLDOwCQO
The Hidden Cameras,He Is the Boss of Me,173000,45QKXANStKBMI4TNBHrBsy
The Shondes,Are You Ready,198600,4IfudhsvSE9y4feq1y5bZ0
God Is My Co-Pilot,QDA (Anthem),170640,3IGxvn43QvFt14XE9v3P56
Frightwig,My Crotch Does Not Say Go,198453,0zW9K9bk9dCsqNtATMLAmO
Hunx & His Punx,Everyone's A Pussy (Fuck You Dude),30600,7FylXH24EqeBVUjFb9MziU
The Hirs Collective,From My Mouth to Yours.,226969,15atCODVVCzFRjaxgzZQRV
Human Kitten,Space Princess,98089,3BVBb42DMtZ7gSftuLNBn4
Fabulous Disaster,Gia,136133,4PTX6gzbU6Bepk6WNUHCT1
Tuffragettes,Tuffragettes Against Terfs,221714,1qIrhdM0rcteR8VBPVcxrR
Ezra Furman,Maraschino-Red Dress $8.99 at Goodwill,150000,4XnC4TjZMpyoklzeqlQQlL
Skinny Girl Diet,Dimethyltryptamine,221940,3zw7N0i5009LMkPCVoKexJ
Gaymous,(Let's Pretend We Don't Have) Feelings,289988,1jz5tjjGQR2qotlnsqOCDK
Rae Spoon,Ghost of a Boy,212040,7BL8GTgqJM40dWbOpoAr6C
The Groans,Skin,168594,13glfHd2Eg1pkwuGdiO3o9
Eli Conley,What I'm Worth,245933,2tQ7xwTN84TjANEMTNFDtH
Evan Greer,Last iPhone,217325,6S2zDFOUAJgU93GbDxActq
The Butchies,Insult To Injury,253093,3LfPsgGIeamPFr5pldhdhz
Ludlow,Trust No Cop,233093,0PhP8Mx3DiGGlSj319L0Ut
Bitch and Animal,drag king bar,282933,2Qxxw5iOB0tpK8HFMDS2Na
Red Aunts,Rollerderby Queen,128000,24jZmh11xfYIoOmCwGgFxC
